galaxy,mass_msun,rd_kpc
CamB,72930.35115844001,3.0
D564-8,11682.172672810002,3.0
D631-7,155257.51314528997,3.0
DDO064,620460.2622490004,3.0
DDO154,80540.85072784004,3.0
DDO161,917925.33428964,3.0
DDO168,616357.67214025,3.0
DDO170,714549.1651620099,3.0
ESO079-G014,291471383.0360892,3.0
ESO116-G012,10796371.237402244,3.0
ESO444-G084,79277.94821955997,3.0
ESO563-G021,1505281405.2971177,3.0
F561-1,10893044.13270544,3.0
F563-1,3013697.736000252,3.0
F563-V1,904625.06947684,3.0
F563-V2,8958727.226636892,3.0
F565-V2,1174827.2871302494,3.0
F567-2,2818741.810138809,3.0
F568-1,22502781.717874084,3.0
F568-3,15359038.337908812,3.0
F568-V1,5736481.496082089,3.0
F571-8,10238229.196562894,3.0
F571-V1,2359100.6248449595,3.0
F574-1,11698017.715932248,3.0
F574-2,4463464.529095691,3.0
F579-V1,26345497.25458226,3.0
F583-1,3445740.5404243595,3.0
F583-4,2563362.7035502507,3.0
IC2574,1723364.54779204,3.0
IC4202,1422951011.6681235,3.0
KK98-251,209865.32183236,3.0
NGC0024,4100920.25031441,3.0
NGC0055,11789829.39815041,3.0
NGC0100,4315887.002323688,3.0
NGC0247,12845449.52621401,3.0
NGC0289,52352361.84724625,3.0
NGC0300,2927396.7827176885,3.0
NGC0801,870525917.6668463,3.0
NGC0891,1609102196.618179,3.0
NGC1003,5683796.440297962,3.0
NGC1090,196465381.1219988,3.0
NGC1705,339527.28648609,3.0
NGC2366,746754.0126904899,3.0
NGC2403,13711155.88702084,3.0
NGC2683,108590133.99428098,3.0
NGC2841,309678696.855638,3.0
NGC2903,232541897.7063002,3.0
NGC2915,455039.4232692101,3.0
NGC2955,2101049096.3562448,3.0
NGC2976,39902190.90848762,3.0
NGC2998,444085848.4156804,3.0
NGC3109,287309.4001562501,3.0
NGC3198,37050625.52100626,3.0
NGC3521,552449171.0547112,3.0
NGC3726,130599206.85600102,3.0
NGC3741,38062.137063040005,3.0
NGC3769,10126571.225310758,3.0
NGC3877,1363229719.8230927,3.0
NGC3893,262881801.019626,3.0
NGC3917,77821129.39201222,3.0
NGC3949,689921672.9028718,3.0
NGC3953,2426763127.1375937,3.0
NGC3972,89185603.97896898,3.0
NGC3992,618391611.2853606,3.0
NGC4010,86069432.69073771,3.0
NGC4013,141144003.9553776,3.0
NGC4051,907404346.6614093,3.0
NGC4068,820168.7760448897,3.0
NGC4085,399620314.1436314,3.0
NGC4088,663577703.0400038,3.0
NGC4100,170180504.355625,3.0
NGC4138,121806588.12104486,3.0
NGC4157,313631607.4903974,3.0
NGC4183,13962474.005632358,3.0
NGC4214,1226820.5137324906,3.0
NGC4217,557556928.3355638,3.0
NGC4389,406037733.542884,3.0
NGC4559,47770387.35015626,3.0
NGC5005,5683174212.83573,3.0
NGC5033,165739899.17320085,3.0
NGC5055,187500713.74809995,3.0
NGC5371,1267039008.007474,3.0
NGC5585,5160006.64059904,3.0
NGC5907,395705162.82632434,3.0
NGC5985,1299341554.3600564,3.0
NGC6015,40284942.149764,3.0
NGC6195,2617030003.474141,3.0
NGC6503,9172876.495770492,3.0
NGC6674,230488587.64072037,3.0
NGC6946,265454878.90035325,3.0
NGC7331,1147702717.47533,3.0
NGC7793,29565615.64278529,3.0
NGC7814,310595936.6573167,3.0
PGC51017,169653.37209999995,3.0
UGC00128,4999196.93725456,3.0
UGC00191,4653520.468804,3.0
UGC00731,2081300.7683779595,3.0
UGC00891,511341.2656096901,3.0
UGC01230,6463757.590142409,3.0
UGC01281,563917.6420802501,3.0
UGC02023,2942504.186054409,3.0
UGC02259,3189007.708308489,3.0
UGC02455,26452712.997044004,3.0
UGC02487,855411161.3430864,3.0
UGC02885,1133941064.208914,3.0
UGC02916,414225245.38209033,3.0
UGC02953,365210327.3454337,3.0
UGC03205,208565055.78209856,3.0
UGC03546,260308621.3436227,3.0
UGC03580,11412031.19763204,3.0
UGC04278,7024673.168100001,3.0
UGC04305,2141920.0609,3.0
UGC04325,8544416.563355561,3.0
UGC04483,41983.190404,3.0
UGC04499,4575180.68267584,3.0
UGC05005,4792740.252595841,3.0
UGC05253,284009452.6563999,3.0
UGC05414,2967512.342079608,3.0
UGC05716,975489.85602721,3.0
UGC05721,900165.65142436,3.0
UGC05750,4291009.504215039,3.0
UGC05764,260207.92719363995,3.0
UGC05829,2579639.76420049,3.0
UGC05918,283235.9884806401,3.0
UGC05986,9793060.492259556,3.0
UGC05999,11065951.535256254,3.0
UGC06399,5376480.9881759975,3.0
UGC06446,2438940.62283664,3.0
UGC06614,148737610.814809,3.0
UGC06628,10048644.49962409,3.0
UGC06667,1378960.7618305606,3.0
UGC06786,110821889.30944574,3.0
UGC06787,169409992.7586883,3.0
UGC06818,2705336.1178483604,3.0
UGC06917,24815299.40911849,3.0
UGC06923,13259843.483086249,3.0
UGC06930,18243921.681132164,3.0
UGC06973,1022875169.866948,3.0
UGC06983,10281053.545027245,3.0
UGC07089,7657451.1841,3.0
UGC07125,3501816.460858811,3.0
UGC07151,9545353.80549136,3.0
UGC07261,4489876.210915839,3.0
UGC07323,20520857.41802209,3.0
UGC07399,2614381.779025,3.0
UGC07524,7090589.049855997,3.0
UGC07559,260021.8738675601,3.0
UGC07577,50207.94748369,3.0
UGC07603,533615.2018060901,3.0
UGC07608,715990.1302440001,3.0
UGC07690,2167542.7352092904,3.0
UGC07866,223689.36435561,3.0
UGC08286,2086995.1310209609,3.0
UGC08490,897282.5625000001,3.0
UGC08550,530255.5787822502,3.0
UGC08699,102314378.11324894,3.0
UGC08837,1422911.6395939605,3.0
UGC09037,224960416.74108025,3.0
UGC09133,196317463.6459556,3.0
UGC09992,630761.582025,3.0
UGC10310,4890787.537656249,3.0
UGC11455,1991635980.807001,3.0
UGC11557,54302639.986056246,3.0
UGC11820,2373809.798519289,3.0
UGC11914,4415908255.032763,3.0
UGC12506,415129398.45090026,3.0
UGC12632,2893676.568561001,3.0
UGC12732,5769762.052682409,3.0
UGCA281,142699.36888249,3.0
UGCA442,154721.78373961,3.0
UGCA444,47645.54721796,3.0
